Replicate Name,Peptide Note,Total Area MS1,Peptide Retention Time
QC_02,1-3_H3_3_8_K4_m2,7061929,21.5
QC_03,1-3_H3_3_8_K4_m2,9976745,21.75
QC_05,1-3_H3_3_8_K4_m2,11275210,21.89
QC_04,1-3_H3_3_8_K4_m2,11965831,21.85
IM01r1,1-3_H3_3_8_K4_m2,31639,20.95
IM01r2,1-3_H3_3_8_K4_m2,56778,20.69
IM01r3,1-3_H3_3_8_K4_m2,867255,21.84
IM02r1,1-3_H3_3_8_K4_m2,8754131,21.74
IM02r2,1-3_H3_3_8_K4_m2,8493139,21.84
IM02r3,1-3_H3_3_8_K4_m2,9020933,21.82
IM03r1,1-3_H3_3_8_K4_m2,2293525,21.47
IM03r2,1-3_H3_3_8_K4_m2,3815844,21.9
IM03r3,1-3_H3_3_8_K4_m2,3449829,21.78
IM04r1,1-3_H3_3_8_K4_m2,2540660,20.61
IM04r2,1-3_H3_3_8_K4_m2,7345488,21.75
IM04r3,1-3_H3_3_8_K4_m2,9028103,21.9
IM05r1,1-3_H3_3_8_K4_m2,7910778,21.86
IM05r2,1-3_H3_3_8_K4_m2,7967705,21.83
IM05r3,1-3_H3_3_8_K4_m2,8101636,21.88
EJ06r1,1-3_H3_3_8_K4_m2,2213687,20.44
EJ06r2,1-3_H3_3_8_K4_m2,3935108,21.22
EJ06r3,1-3_H3_3_8_K4_m2,7929740,21.83
EJ07r1,1-3_H3_3_8_K4_m2,14313113,21.67
EJ07r2,1-3_H3_3_8_K4_m2,5607154,20.74
EJ07r3,1-3_H3_3_8_K4_m2,10808378,21.44
EJ08r1,1-3_H3_3_8_K4_m2,20127094,21.55
EJ08r2,1-3_H3_3_8_K4_m2,26596344,21.8
EJ08r3,1-3_H3_3_8_K4_m2,14784563,21.21
EJ09r1,1-3_H3_3_8_K4_m2,7753732,21.57
EJ09r2,1-3_H3_3_8_K4_m2,4946223,21.39
EJ09r3,1-3_H3_3_8_K4_m2,2121165,21.06
EJ10r1,1-3_H3_3_8_K4_m2,17773328,21.68
EJ10r2,1-3_H3_3_8_K4_m2,7179437,20.5
EJ10r3,1-3_H3_3_8_K4_m2,21760618,21.83
blank_00,1-4_H3_3_8_K4_me3,#N/A,#N/A
blank_01,1-4_H3_3_8_K4_me3,#N/A,#N/A
QC_pre01,1-4_H3_3_8_K4_me3,102034,19.19
QC_pre02,1-4_H3_3_8_K4_me3,66760,19.51
QC_pre03,1-4_H3_3_8_K4_me3,95033,19.49
QC_00,1-4_H3_3_8_K4_me3,15546,19.41
QC_01,1-4_H3_3_8_K4_me3,380137,20.82
QC_02,1-4_H3_3_8_K4_me3,901444,21.3
QC_03,1-4_H3_3_8_K4_me3,1434443,21.6
QC_05,1-4_H3_3_8_K4_me3,2067077,21.82
QC_04,1-4_H3_3_8_K4_me3,1972640,21.76
IM01r1,1-4_H3_3_8_K4_me3,#N/A,#N/A
IM01r2,1-4_H3_3_8_K4_me3,#N/A,#N/A
IM01r3,1-4_H3_3_8_K4_me3,117638,21.77
IM02r1,1-4_H3_3_8_K4_me3,1235758,21.62
IM02r2,1-4_H3_3_8_K4_me3,1429415,21.73
IM02r3,1-4_H3_3_8_K4_me3,1481854,21.73
IM03r1,1-4_H3_3_8_K4_me3,172232,21.25
IM03r2,1-4_H3_3_8_K4_me3,651822,21.81
IM03r3,1-4_H3_3_8_K4_me3,497395,21.66
IM04r1,1-4_H3_3_8_K4_me3,71479,20.13
IM04r2,1-4_H3_3_8_K4_me3,944272,21.59
IM04r3,1-4_H3_3_8_K4_me3,1381355,21.83
IM05r1,1-4_H3_3_8_K4_me3,1205021,21.77
IM05r2,1-4_H3_3_8_K4_me3,1192938,21.72
IM05r3,1-4_H3_3_8_K4_me3,1207309,21.77
EJ06r1,1-4_H3_3_8_K4_me3,36381,20.03
EJ06r2,1-4_H3_3_8_K4_me3,271669,20.86
EJ06r3,1-4_H3_3_8_K4_me3,1184384,21.72
EJ07r1,1-4_H3_3_8_K4_me3,2152281,21.5
EJ07r2,1-4_H3_3_8_K4_me3,528497,20.32
EJ07r3,1-4_H3_3_8_K4_me3,1390196,21.19
EJ08r1,1-4_H3_3_8_K4_me3,2926418,21.38
EJ08r2,1-4_H3_3_8_K4_me3,4783142,21.71
EJ08r3,1-4_H3_3_8_K4_me3,1913466,20.84
EJ09r1,1-4_H3_3_8_K4_me3,370831,21.45
EJ09r2,1-4_H3_3_8_K4_me3,135768,21.16
EJ09r3,1-4_H3_3_8_K4_me3,35899,20.55
EJ10r1,1-4_H3_3_8_K4_me3,2728766,21.49
EJ10r2,1-4_H3_3_8_K4_me3,778480,20.01
EJ10r3,1-4_H3_3_8_K4_me3,3528807,21.72
blank_00,2-1_H3_9_17_K9K14_pp,#N/A,#N/A
blank_01,2-1_H3_9_17_K9K14_pp,#N/A,#N/A
QC_pre01,2-1_H3_9_17_K9K14_pp,2756624384,39.94
QC_pre02,2-1_H3_9_17_K9K14_pp,2479399168,39.79
QC_pre03,2-1_H3_9_17_K9K14_pp,2224388096,39.46
QC_00,2-1_H3_9_17_K9K14_pp,701177024,38.86
